Date,CFM_1,CFM_2,CFM_3,CFM_4,O2_1,O2_2,O2_3,O2_4,STATICPR_1,STATICPR_2,STATICPR_3,STATICPR_4
02:37:46 03-09-2025,0,0,0,340,0,0,0,9.72994232177734,0,0,0,5.40142154693604
02:38:16 03-09-2025,0,0,0,334,0,0,0,10.2336082458496,0,0,0,5.31901741027832
02:38:46 03-09-2025,0,0,0,356,0,0,0,10.6380672454834,0,0,0,5.39455509185791
02:39:16 03-09-2025,0,0,0,374,0,0,0,10.989107131958,0,0,0,5.35106372833252
02:39:46 03-09-2025,0,0,0,356,0,0,0,11.3401470184326,0,0,0,5.35335254669189
02:40:16 03-09-2025,0,0,0,326,0,0,0,11.7140808105469,0,0,0,5.39455509185791
02:40:46 03-09-2025,0,0,0,359,0,0,0,12.0727519989014,0,0,0,5.45406913757324
02:41:16 03-09-2025,0,0,0,335,0,0,0,12.4085292816162,0,0,0,5.45406913757324
02:41:46 03-09-2025,0,0,0,346,0,0,0,12.7672004699707,0,0,0,5.35335254669189
02:42:16 03-09-2025,0,0,0,329,0,0,0,13.0037708282471,0,0,0,5.44491291046143
02:42:46 03-09-2025,0,0,0,328,0,0,0,13.2861289978027,0,0,0,5.47238063812256
02:43:16 03-09-2025,0,0,0,353,0,0,0,13.5150661468506,0,0,0,5.43575668334961
02:43:46 03-09-2025,0,0,0,337,0,0,0,13.7363739013672,0,0,0,5.43346786499023
02:44:16 03-09-2025,0,0,0,327,0,0,0,13.9042625427246,0,0,0,5.47238063812256
02:44:46 03-09-2025,0,0,0,331,0,0,0,14.0568885803223,0,0,0,5.49755954742432
02:45:16 03-09-2025,0,0,0,339,0,0,0,14.20188331604,0,0,0,5.38997650146484
02:45:46 03-09-2025,0,0,0,341,0,0,0,14.2858276367188,0,0,0,5.51358318328857
02:46:16 03-09-2025,0,0,0,335,0,0,0,14.4231910705566,0,0,0,5.4151554107666
02:46:46 03-09-2025,0,0,0,342,0,0,0,14.530029296875,0,0,0,5.24119186401367
